ID	Par1	Par2	gener
0000803A	SFS150	EJULU	1
0000803B	SFS150	EJULU	1
0000804C	SFS150	EJULU	1
0000804D	SFS150	EJULU	1
0000807A	SFS150	EJULU	1
0000810	SFS150	EJULU	1
0000814A	SFS150	EJULU	1
0000814B	SFS150	EJULU	1
0000814C	SFS150	EJULU	1
0000911A	TL1	MRTM1	1
0000911B	TL1	MRTM1	1
0000914B	TL1	MRTM1	1
0000915A	TL1	MRTM1	1
0000915B	TL1	MRTM1	1
0000915D	TL1	MRTM1	1
0000915E	TL1	MRTM1	1
0000916A	TL1	MRTM1	1
0000916B	TL1	MRTM1	1
0000916C	TL1	MRTM1	1
0000920A	TL1	MRTM1	1
0000920B	TL1	MRTM1	1
0000924A	TL1	MRTM1	1
0000925A	TL1	MRTM1	1
0000925B	TL1	MRTM1	1
0000929A	TL1	MRTM1	1
0000939A	SFS150	EJULU	1
0000940B	SFS150	EJULU	1
0000944A	PC110	12/108	1
0000952B	PC110	12/108	1
0001003A	MRTM1	TL1	1
0001028	MRTM1	TL1	1
0001048A	PC110	EJULU	1
0001048B	PC110	EJULU	1
0001048C	PC110	EJULU	1
0001061B	SFS150	EJULU	1
0001061C	SFS150	EJULU	1
0001065A	SFS150	EJULU	1
0001065B	SFS150	EJULU	1
0001066A	SFS150	EJULU	1
0001066B	SFS150	EJULU	1
0001108A	TL1	10/3	1
0001108B	TL1	10/3	1
0001115A	TL1	10/3	1
0001115B	TL1	10/3	1
0001115C	TL1	10/3	1
0001132	MRTM1	TL1	1
0001142B	MRTM1	TL1	1
0001147A	MRTM1	TL1	1
0001147B	MRTM1	TL1	1
0001154	MRTM1	TL1	1
0001156A	MRTM1	TL1	1
0001156B	MRTM1	TL1	1
0001163A	MRTM1	TL1	1
0001163C	MRTM1	TL1	1
0001165A	MRTM1	TL1	1
0001165B	MRTM1	TL1	1
0001166A	MRTM1	TL1	1
0001166B	MRTM1	TL1	1
0001169A	MRTM1	TL1	1
0001175B	MRTM1	TL1	1
0001263	TL1	12/108	1
0001277A	TL1	12/108	1
0001277B	TL1	12/108	1
0001283A	SFS150	EJULU	1
0001283B	SFS150	EJULU	1
0001294A	SFS150	EJULU	1
0001294B	SFS150	EJULU	1
0001335	12/108	PC110	1
0001349A	TL1	MRTM1	1
0001349B	TL1	MRTM1	1
0001349C	TL1	MRTM1	1
0001350A	TL1	MRTM1	1
0001350B	TL1	MRTM1	1
0001350C	TL1	MRTM1	1
0001353A	PC110	12/108	1
0001353B	PC110	12/108	1
0001438B	12/108	PC110	1
0001448A	TL1	12/108	1
0001448B	TL1	12/108	1
0001474C	SFS150	EJULU	1
0001482A	SFS150	EJULU	1
0001482B	SFS150	EJULU	1
0001492A	SFS150	EJULU	1
0001492C	SFS150	EJULU	1
0001492D	SFS150	EJULU	1
0001500A	SFS150	EJULU	1
0001500B	SFS150	EJULU	1
0001500C	SFS150	EJULU	1
0001563	6/8	PC110	1
0001573A	PC110	6/8	1
0001573B	PC110	6/8	1
0001579C	PC110	6/8	1
0001604B	PC110	6/8	1
0001604D	PC110	6/8	1
0001605C	PC110	6/8	1
0001605D	PC110	6/8	1
0001614B	PC110	6/8	1
0001624A	SFS150	EJULU	1
0001624B	SFS150	EJULU	1
0001624C	SFS150	EJULU	1
0001626A	SFS150	EJULU	1
0001626B	SFS150	EJULU	1
0001626C	SFS150	EJULU	1
0001630B	SFS150	EJULU	1
0001631A	SFS150	EJULU	1
0001634A	SFS150	EJULU	1
0001634B	SFS150	EJULU	1
0001634C	SFS150	EJULU	1
0001634D	SFS150	EJULU	1
0001640A	SFS150	EJULU	1
0001640C	SFS150	EJULU	1
0001645B	SFS150	EJULU	1
0001645C	SFS150	EJULU	1
0001645D	SFS150	EJULU	1
0001647B	SFS150	EJULU	1
0001650	SFS150	EJULU	1
0001654A	SFS150	EJULU	1
0001654C	SFS150	EJULU	1
0001656A	SFS150	EJULU	1
0001656B	SFS150	EJULU	1
0001656C	SFS150	EJULU	1
0001660A	SFS150	EJULU	1
0001661B	SFS150	EJULU	1
0001661D	SFS150	EJULU	1
0001661E	SFS150	EJULU	1
0001661F	SFS150	EJULU	1
0001661G	SFS150	EJULU	1
0001662A	SFS150	EJULU	1
0001662B	SFS150	EJULU	1
0001663A	SFS150	EJULU	1
0001665A	SFS150	EJULU	1
0001665C	SFS150	EJULU	1
0001667A	SFS150	EJULU	1
0001667D	SFS150	EJULU	1
0001668A	SFS150	EJULU	1
0001668B	SFS150	EJULU	1
0001668C	SFS150	EJULU	1
0001668D	SFS150	EJULU	1
0001669C	SFS150	EJULU	1
0001669D	SFS150	EJULU	1
0001686A	TL1	12/108	1
0001690A	TL1	12/108	1
0001690B	TL1	12/108	1
0001691A	TL1	12/108	1
0001691B	TL1	12/108	1
0001691C	TL1	12/108	1
0001693C	TL1	12/108	1
0001698C	TL1	12/108	1
0001701A	TL1	12/108	1
0001738A	SFS150	6/8	1
0001738B	SFS150	6/8	1
0001738C	SFS150	6/8	1
0001738D	SFS150	6/8	1
0001738E	SFS150	6/8	1
0001751A	SFS150	6/8	1
0001751B	SFS150	6/8	1
0001755A	SFS150	6/8	1
0001765B	SFS150	6/8	1
0001765C	SFS150	6/8	1
0001765D	SFS150	6/8	1
0001776A	PC110	6/8	1
0001824A	PC87	15/10	1
0001833B	PC110	6/8	1
0001896	6/8	PC110	1
0001937A	PC110	6/8	1
0001983B	TL1	10/3	1
0001984A	TL1	10/3	1
0002003A	TL1	10/3	1
0002003B	TL1	10/3	1
0002017A	TL1	10/3	1
0002017B	TL1	10/3	1
0002024B	TL1	10/3	1
0002024C	TL1	10/3	1
0002035A	SFS150	6/8	1
0002035B	SFS150	6/8	1
0002047	SFS150	6/8	1
0002060A	SFS150	6/8	1
0002060B	SFS150	6/8	1
0002073A	SFS150	6/8	1
0002073B	SFS150	6/8	1
0002111A	TL1	10/3	1
0002111B	TL1	10/3	1
0002132A	SFS150	6/8	1
0002132B	SFS150	6/8	1
0002134A	SFS150	6/8	1
0002134B	SFS150	6/8	1
0002135A	SFS150	6/8	1
0002135C	SFS150	6/8	1
0002138A	SFS150	6/8	1
0002138C	SFS150	6/8	1
0002157A	SFS150	6/8	1
0002157D	SFS150	6/8	1
0002159A	SFS150	6/8	1
0002159B	SFS150	6/8	1
0002159C	SFS150	6/8	1
0002160B	SFS150	6/8	1
0002165A	SFS150	6/8	1
0002165B	SFS150	6/8	1
0002203A	SFS150	12/108	1
0002203B	SFS150	12/108	1
0002203C	SFS150	12/108	1
0002205A	SFS150	12/108	1
0002218A	SFS150	12/108	1
0002218B	SFS150	12/108	1
0002218C	SFS150	12/108	1
0002222A	SFS150	12/108	1
0002229A	SFS150	12/108	1
0002229B	SFS150	12/108	1
0002332C	TL1	10/3	1
0002333A	TL1	10/3	1
0002347	TL1	10/3	1
0002368A	TL1	10/3	1
0002369A	TL1	10/3	1
0002378A	SFS150	6/8	1
0002378C	SFS150	6/8	1
0002396A	SFS150	6/8	1
0002403	SFS150	6/8	1
0002405B	SFS150	6/8	1
0002405C	SFS150	6/8	1
0002408A	SFS150	6/8	1
0002408B	SFS150	6/8	1
0002408D	SFS150	6/8	1
0002413C	SFS150	6/8	1
0002427A	SFS150	6/8	1
0002427B	SFS150	6/8	1
0002427C	SFS150	6/8	1
0002427D	SFS150	6/8	1
0002427E	SFS150	6/8	1
0002433A	SFS150	6/8	1
0002433B	SFS150	6/8	1
0002433C	SFS150	6/8	1
0002433D	SFS150	6/8	1
0002434A	SFS150	6/8	1
0002434B	SFS150	6/8	1
0002434C	SFS150	6/8	1
0002434D	SFS150	6/8	1
0002434E	SFS150	6/8	1
0002434F	SFS150	6/8	1
0002442D	SFS150	6/8	1
0002444A	SFS150	6/8	1
0002444B	SFS150	6/8	1
0002451A	SFS150	6/8	1
0002451B	SFS150	6/8	1
0002451D	SFS150	6/8	1
