:START_ID,:END_ID,:TYPE
"SFS150","0000939A","PARENT_OF"
"EJULU","0000939A","PARENT_OF"
"SFS150","0000940B","PARENT_OF"
"EJULU","0000940B","PARENT_OF"
"PC110","0000944A","PARENT_OF"
"12/108","0000944A","PARENT_OF"
"PC110","0000952B","PARENT_OF"
"12/108","0000952B","PARENT_OF"
"PC110","0001048A","PARENT_OF"
"EJULU","0001048A","PARENT_OF"
"PC110","0001048B","PARENT_OF"
"EJULU","0001048B","PARENT_OF"
"PC110","0001048C","PARENT_OF"
"EJULU","0001048C","PARENT_OF"
"SFS150","0001061B","PARENT_OF"
"EJULU","0001061B","PARENT_OF"
"SFS150","0001061C","PARENT_OF"
"EJULU","0001061C","PARENT_OF"
"SFS150","0001065A","PARENT_OF"
"EJULU","0001065A","PARENT_OF"
"SFS150","0001065B","PARENT_OF"
"EJULU","0001065B","PARENT_OF"
"SFS150","0001066A","PARENT_OF"
"EJULU","0001066A","PARENT_OF"
"SFS150","0001066B","PARENT_OF"
"EJULU","0001066B","PARENT_OF"
"SFS150","0001283A","PARENT_OF"
"EJULU","0001283A","PARENT_OF"
"SFS150","0001283B","PARENT_OF"
"EJULU","0001283B","PARENT_OF"
"SFS150","0001294A","PARENT_OF"
"EJULU","0001294A","PARENT_OF"
"SFS150","0001294B","PARENT_OF"
"EJULU","0001294B","PARENT_OF"
"12/108","0001335","PARENT_OF"
"PC110","0001335","PARENT_OF"
"PC110","0001353A","PARENT_OF"
"12/108","0001353A","PARENT_OF"
"PC110","0001353B","PARENT_OF"
"12/108","0001353B","PARENT_OF"
"12/108","0001438B","PARENT_OF"
"PC110","0001438B","PARENT_OF"
"SFS150","0001474C","PARENT_OF"
"EJULU","0001474C","PARENT_OF"
"SFS150","0001482A","PARENT_OF"
"EJULU","0001482A","PARENT_OF"
"SFS150","0001482B","PARENT_OF"
"EJULU","0001482B","PARENT_OF"
"SFS150","0001492A","PARENT_OF"
"EJULU","0001492A","PARENT_OF"
"SFS150","0001492C","PARENT_OF"
"EJULU","0001492C","PARENT_OF"
"SFS150","0001492D","PARENT_OF"
"EJULU","0001492D","PARENT_OF"
"SFS150","0001500A","PARENT_OF"
"EJULU","0001500A","PARENT_OF"
"SFS150","0001500B","PARENT_OF"
"EJULU","0001500B","PARENT_OF"
"SFS150","0001500C","PARENT_OF"
"EJULU","0001500C","PARENT_OF"
"6/8","0001563","PARENT_OF"
"PC110","0001563","PARENT_OF"
"PC110","0001573A","PARENT_OF"
"6/8","0001573A","PARENT_OF"
"PC110","0001573B","PARENT_OF"
"6/8","0001573B","PARENT_OF"
"PC110","0001579C","PARENT_OF"
"6/8","0001579C","PARENT_OF"
"PC110","0001604B","PARENT_OF"
"6/8","0001604B","PARENT_OF"
"PC110","0001604D","PARENT_OF"
"6/8","0001604D","PARENT_OF"
"PC110","0001605C","PARENT_OF"
"6/8","0001605C","PARENT_OF"
"PC110","0001605D","PARENT_OF"
"6/8","0001605D","PARENT_OF"
"PC110","0001614B","PARENT_OF"
"6/8","0001614B","PARENT_OF"
"SFS150","0001624A","PARENT_OF"
"EJULU","0001624A","PARENT_OF"
"SFS150","0001624B","PARENT_OF"
"EJULU","0001624B","PARENT_OF"
"SFS150","0001624C","PARENT_OF"
"EJULU","0001624C","PARENT_OF"
"SFS150","0001626A","PARENT_OF"
"EJULU","0001626A","PARENT_OF"
"SFS150","0001626B","PARENT_OF"
"EJULU","0001626B","PARENT_OF"
"SFS150","0001626C","PARENT_OF"
"EJULU","0001626C","PARENT_OF"
"SFS150","0001630B","PARENT_OF"
"EJULU","0001630B","PARENT_OF"
"SFS150","0001631A","PARENT_OF"
"EJULU","0001631A","PARENT_OF"
"SFS150","0001634A","PARENT_OF"
"EJULU","0001634A","PARENT_OF"
"SFS150","0001634B","PARENT_OF"
"EJULU","0001634B","PARENT_OF"
"SFS150","0001634C","PARENT_OF"
"EJULU","0001634C","PARENT_OF"
"SFS150","0001634D","PARENT_OF"
"EJULU","0001634D","PARENT_OF"
"SFS150","0001640A","PARENT_OF"
"EJULU","0001640A","PARENT_OF"
"SFS150","0001640C","PARENT_OF"
"EJULU","0001640C","PARENT_OF"
"SFS150","0001645B","PARENT_OF"
"EJULU","0001645B","PARENT_OF"
"SFS150","0001645C","PARENT_OF"
"EJULU","0001645C","PARENT_OF"
"SFS150","0001645D","PARENT_OF"
"EJULU","0001645D","PARENT_OF"
"SFS150","0001647B","PARENT_OF"
"EJULU","0001647B","PARENT_OF"
"SFS150","0001650","PARENT_OF"
"EJULU","0001650","PARENT_OF"
"SFS150","0001654A","PARENT_OF"
"EJULU","0001654A","PARENT_OF"
"SFS150","0001654C","PARENT_OF"
"EJULU","0001654C","PARENT_OF"
"SFS150","0001656A","PARENT_OF"
"EJULU","0001656A","PARENT_OF"
"SFS150","0001656B","PARENT_OF"
"EJULU","0001656B","PARENT_OF"
"SFS150","0001656C","PARENT_OF"
"EJULU","0001656C","PARENT_OF"
"SFS150","0001660A","PARENT_OF"
"EJULU","0001660A","PARENT_OF"
"SFS150","0001661B","PARENT_OF"
"EJULU","0001661B","PARENT_OF"
"SFS150","0001661D","PARENT_OF"
"EJULU","0001661D","PARENT_OF"
"SFS150","0001661E","PARENT_OF"
"EJULU","0001661E","PARENT_OF"
"SFS150","0001661F","PARENT_OF"
"EJULU","0001661F","PARENT_OF"
"SFS150","0001661G","PARENT_OF"
"EJULU","0001661G","PARENT_OF"
"SFS150","0001662A","PARENT_OF"
"EJULU","0001662A","PARENT_OF"
"SFS150","0001662B","PARENT_OF"
"EJULU","0001662B","PARENT_OF"
"SFS150","0001663A","PARENT_OF"
"EJULU","0001663A","PARENT_OF"
"SFS150","0001665A","PARENT_OF"
"EJULU","0001665A","PARENT_OF"
"SFS150","0001665C","PARENT_OF"
"EJULU","0001665C","PARENT_OF"
"SFS150","0001667A","PARENT_OF"
"EJULU","0001667A","PARENT_OF"
"SFS150","0001667D","PARENT_OF"
"EJULU","0001667D","PARENT_OF"
"SFS150","0001668A","PARENT_OF"
"EJULU","0001668A","PARENT_OF"
"SFS150","0001668B","PARENT_OF"
"EJULU","0001668B","PARENT_OF"
"SFS150","0001668C","PARENT_OF"
"EJULU","0001668C","PARENT_OF"
"SFS150","0001668D","PARENT_OF"
"EJULU","0001668D","PARENT_OF"
"SFS150","0001669C","PARENT_OF"
"EJULU","0001669C","PARENT_OF"
"SFS150","0001669D","PARENT_OF"
"EJULU","0001669D","PARENT_OF"
"SFS150","0001738A","PARENT_OF"
"6/8","0001738A","PARENT_OF"
"SFS150","0001738B","PARENT_OF"
"6/8","0001738B","PARENT_OF"
"SFS150","0001738C","PARENT_OF"
"6/8","0001738C","PARENT_OF"
"SFS150","0001738D","PARENT_OF"
"6/8","0001738D","PARENT_OF"
"SFS150","0001738E","PARENT_OF"
"6/8","0001738E","PARENT_OF"
"SFS150","0001751A","PARENT_OF"
"6/8","0001751A","PARENT_OF"
"SFS150","0001751B","PARENT_OF"
"6/8","0001751B","PARENT_OF"
"SFS150","0001755A","PARENT_OF"
"6/8","0001755A","PARENT_OF"
"SFS150","0001765B","PARENT_OF"
"6/8","0001765B","PARENT_OF"
"SFS150","0001765C","PARENT_OF"
"6/8","0001765C","PARENT_OF"
"SFS150","0001765D","PARENT_OF"
"6/8","0001765D","PARENT_OF"
"PC110","0001776A","PARENT_OF"
"6/8","0001776A","PARENT_OF"
"PC110","0001833B","PARENT_OF"
"6/8","0001833B","PARENT_OF"
"6/8","0001896","PARENT_OF"
"PC110","0001896","PARENT_OF"
"PC110","0001937A","PARENT_OF"
"6/8","0001937A","PARENT_OF"
"SFS150","0002035A","PARENT_OF"
"6/8","0002035A","PARENT_OF"
"SFS150","0002035B","PARENT_OF"
"6/8","0002035B","PARENT_OF"
"SFS150","0002047","PARENT_OF"
"6/8","0002047","PARENT_OF"
"SFS150","0002060A","PARENT_OF"
"6/8","0002060A","PARENT_OF"
"SFS150","0002060B","PARENT_OF"
"6/8","0002060B","PARENT_OF"
"SFS150","0002073A","PARENT_OF"
"6/8","0002073A","PARENT_OF"
"SFS150","0002073B","PARENT_OF"
"6/8","0002073B","PARENT_OF"
"SFS150","0002132A","PARENT_OF"
"6/8","0002132A","PARENT_OF"
"SFS150","0002132B","PARENT_OF"
"6/8","0002132B","PARENT_OF"
"SFS150","0002134A","PARENT_OF"
"6/8","0002134A","PARENT_OF"
"SFS150","0002134B","PARENT_OF"
"6/8","0002134B","PARENT_OF"
"SFS150","0002135A","PARENT_OF"
"6/8","0002135A","PARENT_OF"
"SFS150","0002135C","PARENT_OF"
"6/8","0002135C","PARENT_OF"
"SFS150","0002138A","PARENT_OF"
"6/8","0002138A","PARENT_OF"
"SFS150","0002138C","PARENT_OF"
"6/8","0002138C","PARENT_OF"
"SFS150","0002157A","PARENT_OF"
"6/8","0002157A","PARENT_OF"
"SFS150","0002157D","PARENT_OF"
"6/8","0002157D","PARENT_OF"
"SFS150","0002159A","PARENT_OF"
"6/8","0002159A","PARENT_OF"
"SFS150","0002159B","PARENT_OF"
