id:ID,gener,par1,par2,year:int,:LABEL
"0000398A","1","MRTM1","TL1","2000","Plant"
"0000398B","1","MRTM1","TL1","2000","Plant"
"0000402B","1","MRTM1","TL1","2000","Plant"
"0000402C","1","MRTM1","TL1","2000","Plant"
"0000412A","1","MRTM1","TL1","2000","Plant"
"0000412B","1","MRTM1","TL1","2000","Plant"
"0000412C","1","MRTM1","TL1","2000","Plant"
"0000414A","1","MRTM1","TL1","2000","Plant"
"0000414B","1","MRTM1","TL1","2000","Plant"
"0000414C","1","MRTM1","TL1","2000","Plant"
"0000418A","1","MRTM1","TL1","2000","Plant"
"0000418B","1","MRTM1","TL1","2000","Plant"
"0000420A","1","MRTM1","TL1","2000","Plant"
"0000420B","1","MRTM1","TL1","2000","Plant"
"0000425A","1","SFS150","EJULU","2000","Plant"
"0000425B","1","SFS150","EJULU","2000","Plant"
"0000425C","1","SFS150","EJULU","2000","Plant"
"0000425D","1","SFS150","EJULU","2000","Plant"
"0000425E","1","SFS150","EJULU","2000","Plant"
"0000426A","1","SFS150","EJULU","2000","Plant"
"0000426B","1","SFS150","EJULU","2000","Plant"
"0000440A","1","SFS150","EJULU","2000","Plant"
"0000449B","1","SFS150","EJULU","2000","Plant"
"0000463","1","SFS150","EJULU","2000","Plant"
"0000464A","1","SFS150","EJULU","2000","Plant"
"0000464B","1","SFS150","EJULU","2000","Plant"
"0000464C","1","SFS150","EJULU","2000","Plant"
"0000464D","1","SFS150","EJULU","2000","Plant"
"0000464E","1","SFS150","EJULU","2000","Plant"
"0000474B","1","PC110","EJULU","2000","Plant"
"0000476B","1","PC110","EJULU","2000","Plant"
"0000484C","1","TL1","12/108","2000","Plant"
"0000484D","1","TL1","12/108","2000","Plant"
"0000493A","1","TL1","12/108","2000","Plant"
"0000503A","1","TL1","12/108","2000","Plant"
"0000503B","1","TL1","12/108","2000","Plant"
"0000503C","1","TL1","12/108","2000","Plant"
"0000540","1","MRTM1","TL1","2000","Plant"
