year	month	rainfall	date
2013	Jan	126.5	2013-01-01
2013	Feb	30	2013-02-01
2013	Mar	223.5	2013-03-01
2013	Apr	262	2013-04-01
2013	May	182	2013-05-01
2013	Jun	129.5	2013-06-01
2013	Jul	105	2013-07-01
2013	Aug	187.5	2013-08-01
2013	Sep	175.5	2013-09-01
2013	Oct	113	2013-10-01
2013	Nov	113	2013-11-01
2013	Dec	211.5	2013-12-01
2012	Jan	1	2012-01-01
2012	Feb	34.5	2012-02-01
2012	Mar	48	2012-03-01
2012	Apr	670.5	2012-04-01
2012	May	630.5	2012-05-01
2012	Jun	220.5	2012-06-01
2012	Jul	143.5	2012-07-01
2012	Aug	236	2012-08-01
2012	Sep	306	2012-09-01
2012	Oct	188.6	2012-10-01
2012	Nov	133.4	2012-11-01
2012	Dec	185.1	2012-12-01
2011	Jan	75.5	2011-01-01
2011	Feb	53	2011-02-01
2011	Mar	294	2011-03-01
2011	Apr	146	2011-04-01
2011	May	285	2011-05-01
2011	Jun	157	2011-06-01
2011	Jul	78.5	2011-07-01
2011	Aug	146.9	2011-08-01
2011	Sep	318.9	2011-09-01
2011	Oct	238	2011-10-01
2011	Nov	327	2011-11-01
2011	Dec	177	2011-12-01
2010	Jan	123.5	2010-01-01
2010	Feb	190	2010-02-01
2010	Mar	205	2010-03-01
2010	Apr	547	2010-04-01
2010	May	253.3	2010-05-01
2010	Jun	277	2010-06-01
2010	Jul	116	2010-07-01
2010	Aug	139.5	2010-08-01
2010	Sep	278.5	2010-09-01
2010	Oct	193.4	2010-10-01
2010	Nov	65.5	2010-11-01
2010	Dec	213.5	2010-12-01
2009	Jan	153	2009-01-01
2009	Feb	72	2009-02-01
2009	Mar	89.5	2009-03-01
2009	Apr	386.5	2009-04-01
2009	May	200.2	2009-05-01
2009	Jun	169.5	2009-06-01
2009	Jul	46.5	2009-07-01
2009	Aug	184.7	2009-08-01
2009	Sep	166.5	2009-09-01
2009	Oct	167.5	2009-10-01
2009	Nov	92	2009-11-01
2009	Dec	245.5	2009-12-01
2008	Jan	60.5	2008-01-01
2008	Feb	44.5	2008-02-01
2008	Mar	325.5	2008-03-01
2008	Apr	341.5	2008-04-01
2008	May	310	2008-05-01
2008	Jun	166	2008-06-01
2008	Jul	205.5	2008-07-01
2008	Aug	287	2008-08-01
2008	Sep	135	2008-09-01
2008	Oct	251	2008-10-01
2008	Nov	204	2008-11-01
2008	Dec	12	2008-12-01
2007	Jan	213	2007-01-01
2007	Feb	247.5	2007-02-01
2007	Mar	173	2007-03-01
2007	Apr	267.5	2007-04-01
2007	May	387.5	2007-05-01
2007	Jun	221	2007-06-01
2007	Jul	248	2007-07-01
2007	Aug	149.6	2007-08-01
2007	Sep	215	2007-09-01
2007	Oct	63.5	2007-10-01
2007	Nov	118.7	2007-11-01
2007	Dec	72	2007-12-01
2006	Jan	139	2006-01-01
2006	Feb	181	2006-02-01
2006	Mar	375	2006-03-01
2006	Apr	515.5	2006-04-01
2006	May	181.1	2006-05-01
2006	Jun	348.5	2006-06-01
2006	Jul	83	2006-07-01
2006	Aug	70.8	2006-08-01
2006	Sep	211.7	2006-09-01
2006	Oct	117	2006-10-01
2006	Nov	393	2006-11-01
2006	Dec	511.5	2006-12-01
2005	Jan	201	2005-01-01
2005	Feb	145.5	2005-02-01
2005	Mar	303	2005-03-01
2005	Apr	254.5	2005-04-01
2005	May	350.5	2005-05-01
2005	Jun	299	2005-06-01
2005	Jul	96.5	2005-07-01
2005	Aug	184	2005-08-01
2005	Sep	149.5	2005-09-01
2005	Oct	164	2005-10-01
2005	Nov	56	2005-11-01
2005	Dec	18	2005-12-01
2004	Jan	237.5	2004-01-01
2004	Feb	197	2004-02-01
2004	Mar	63.5	2004-03-01
2004	Apr	59.5	2004-04-01
2004	May	250	2004-05-01
2004	Jun	88.5	2004-06-01
2004	Jul	375.5	2004-07-01
2004	Aug	250	2004-08-01
2004	Sep	219.5	2004-09-01
2004	Oct	209	2004-10-01
2004	Nov	149.5	2004-11-01
2004	Dec	153	2004-12-01
2003	Jan	127.5	2003-01-01
2003	Feb	35	2003-02-01
2003	Mar	164.2	2003-03-01
2003	Apr	273.5	2003-04-01
2003	May	533	2003-05-01
2003	Jun	281.5	2003-06-01
2003	Jul	148	2003-07-01
2003	Aug	219	2003-08-01
2003	Sep	245	2003-09-01
2003	Oct	265.5	2003-10-01
2003	Nov	148	2003-11-01
2003	Dec	189.5	2003-12-01
