id	year	month	rainfall	date
734	2018	Feb	24.5	2018-02-01
735	2018	Mar	277	2018-03-01
736	2018	Apr	449	2018-04-01
737	2018	May	293.5	2018-05-01
738	2018	Jun	429	2018-06-01
739	2018	Jul	144.5	2018-07-01
740	2018	Aug	161.5	2018-08-01
741	2018	Sep	69	2018-09-01
742	2018	Oct	91	2018-10-01
743	2018	Nov	97.3	2018-11-01
744	2018	Dec	112.2	2018-12-01
745	2017	Jan	27	2017-01-01
746	2017	Feb	145.5	2017-02-01
747	2017	Mar	86.5	2017-03-01
748	2017	Apr	191	2017-04-01
749	2017	May	187.5	2017-05-01
750	2017	Jun	96.5	2017-06-01
751	2017	Jul	56.5	2017-07-01
752	2017	Aug	160.5	2017-08-01
753	2017	Sep	189	2017-09-01
754	2017	Oct	170	2017-10-01
755	2017	Nov	246	2017-11-01
756	2017	Dec	18	2017-12-01
757	2016	Jan	210.5	2016-01-01
758	2016	Feb	54	2016-02-01
759	2016	Mar	97.5	2016-03-01
760	2016	Apr	445	2016-04-01
761	2016	May	267.2	2016-05-01
762	2016	Jun	110.5	2016-06-01
763	2016	Jul	73	2016-07-01
764	2016	Aug	118.5	2016-08-01
765	2016	Sep	88.5	2016-09-01
766	2016	Oct	101.5	2016-10-01
767	2016	Nov	124.5	2016-11-01
768	2016	Dec	37.5	2016-12-01
769	2015	Jan	13.5	2015-01-01
770	2015	Feb	16	2015-02-01
771	2015	Mar	83.5	2015-03-01
772	2015	Apr	418	2015-04-01
773	2015	May	335.5	2015-05-01
774	2015	Jun	73	2015-06-01
775	2015	Jul	84	2015-07-01
776	2015	Aug	96.6	2015-08-01
777	2015	Sep	121.1	2015-09-01
778	2015	Oct	115	2015-10-01
779	2015	Nov	207	2015-11-01
780	2015	Dec	236	2015-12-01
781	2014	Jan	35	2014-01-01
782	2014	Feb	36.5	2014-02-01
783	2014	Mar	215.5	2014-03-01
784	2014	Apr	116	2014-04-01
785	2014	May	189.5	2014-05-01
786	2014	Jun	124.5	2014-06-01
787	2014	Jul	118	2014-07-01
788	2014	Aug	175.4	2014-08-01
789	2014	Sep	93.5	2014-09-01
790	2014	Oct	145	2014-10-01
791	2014	Nov	171	2014-11-01
792	2014	Dec	235	2014-12-01
793	2013	Jan	126.5	2013-01-01
794	2013	Feb	30	2013-02-01
795	2013	Mar	223.5	2013-03-01
796	2013	Apr	262	2013-04-01
797	2013	May	182	2013-05-01
798	2013	Jun	129.5	2013-06-01
799	2013	Jul	105	2013-07-01
800	2013	Aug	187.5	2013-08-01
801	2013	Sep	175.5	2013-09-01
802	2013	Oct	113	2013-10-01
803	2013	Nov	113	2013-11-01
804	2013	Dec	211.5	2013-12-01
805	2012	Jan	1	2012-01-01
806	2012	Feb	34.5	2012-02-01
807	2012	Mar	48	2012-03-01
808	2012	Apr	670.5	2012-04-01
809	2012	May	630.5	2012-05-01
810	2012	Jun	220.5	2012-06-01
811	2012	Jul	143.5	2012-07-01
812	2012	Aug	236	2012-08-01
813	2012	Sep	306	2012-09-01
814	2012	Oct	188.6	2012-10-01
815	2012	Nov	133.4	2012-11-01
816	2012	Dec	185.1	2012-12-01
817	2011	Jan	75.5	2011-01-01
818	2011	Feb	53	2011-02-01
819	2011	Mar	294	2011-03-01
820	2011	Apr	146	2011-04-01
821	2011	May	285	2011-05-01
822	2011	Jun	157	2011-06-01
823	2011	Jul	78.5	2011-07-01
824	2011	Aug	146.9	2011-08-01
825	2011	Sep	318.9	2011-09-01
826	2011	Oct	238	2011-10-01
827	2011	Nov	327	2011-11-01
828	2011	Dec	177	2011-12-01
829	2010	Jan	123.5	2010-01-01
830	2010	Feb	190	2010-02-01
831	2010	Mar	205	2010-03-01
832	2010	Apr	547	2010-04-01
833	2010	May	253.3	2010-05-01
834	2010	Jun	277	2010-06-01
835	2010	Jul	116	2010-07-01
836	2010	Aug	139.5	2010-08-01
837	2010	Sep	278.5	2010-09-01
838	2010	Oct	193.4	2010-10-01
839	2010	Nov	65.5	2010-11-01
840	2010	Dec	213.5	2010-12-01
841	2009	Jan	153	2009-01-01
842	2009	Feb	72	2009-02-01
843	2009	Mar	89.5	2009-03-01
844	2009	Apr	386.5	2009-04-01
845	2009	May	200.2	2009-05-01
846	2009	Jun	169.5	2009-06-01
847	2009	Jul	46.5	2009-07-01
848	2009	Aug	184.7	2009-08-01
849	2009	Sep	166.5	2009-09-01
850	2009	Oct	167.5	2009-10-01
851	2009	Nov	92	2009-11-01
852	2009	Dec	245.5	2009-12-01
853	2008	Jan	60.5	2008-01-01
854	2008	Feb	44.5	2008-02-01
855	2008	Mar	325.5	2008-03-01
856	2008	Apr	341.5	2008-04-01
857	2008	May	310	2008-05-01
858	2008	Jun	166	2008-06-01
859	2008	Jul	205.5	2008-07-01
860	2008	Aug	287	2008-08-01
861	2008	Sep	135	2008-09-01
862	2008	Oct	251	2008-10-01
863	2008	Nov	204	2008-11-01
864	2008	Dec	12	2008-12-01
865	2007	Jan	213	2007-01-01
866	2007	Feb	247.5	2007-02-01
867	2007	Mar	173	2007-03-01
868	2007	Apr	267.5	2007-04-01
869	2007	May	387.5	2007-05-01
870	2007	Jun	221	2007-06-01
871	2007	Jul	248	2007-07-01
872	2007	Aug	149.6	2007-08-01
873	2007	Sep	215	2007-09-01
874	2007	Oct	63.5	2007-10-01
875	2007	Nov	118.7	2007-11-01
876	2007	Dec	72	2007-12-01
877	2006	Jan	139	2006-01-01
878	2006	Feb	181	2006-02-01
879	2006	Mar	375	2006-03-01
880	2006	Apr	515.5	2006-04-01
881	2006	May	181.1	2006-05-01
882	2006	Jun	348.5	2006-06-01
883	2006	Jul	83	2006-07-01
884	2006	Aug	70.8	2006-08-01
885	2006	Sep	211.7	2006-09-01
886	2006	Oct	117	2006-10-01
887	2006	Nov	393	2006-11-01
888	2006	Dec	511.5	2006-12-01
889	2005	Jan	201	2005-01-01
890	2005	Feb	145.5	2005-02-01
891	2005	Mar	303	2005-03-01
892	2005	Apr	254.5	2005-04-01
893	2005	May	350.5	2005-05-01
894	2005	Jun	299	2005-06-01
895	2005	Jul	96.5	2005-07-01
896	2005	Aug	184	2005-08-01
897	2005	Sep	149.5	2005-09-01
898	2005	Oct	164	2005-10-01
899	2005	Nov	56	2005-11-01
900	2005	Dec	18	2005-12-01
901	2004	Jan	237.5	2004-01-01
902	2004	Feb	197	2004-02-01
903	2004	Mar	63.5	2004-03-01
904	2004	Apr	59.5	2004-04-01
905	2004	May	250	2004-05-01
906	2004	Jun	88.5	2004-06-01
907	2004	Jul	375.5	2004-07-01
908	2004	Aug	250	2004-08-01
909	2004	Sep	219.5	2004-09-01
910	2004	Oct	209	2004-10-01
911	2004	Nov	149.5	2004-11-01
912	2004	Dec	153	2004-12-01
913	2003	Jan	127.5	2003-01-01
914	2003	Feb	35	2003-02-01
915	2003	Mar	164.2	2003-03-01
916	2003	Apr	273.5	2003-04-01
917	2003	May	533	2003-05-01
918	2003	Jun	281.5	2003-06-01
919	2003	Jul	148	2003-07-01
920	2003	Aug	219	2003-08-01
921	2003	Sep	245	2003-09-01
922	2003	Oct	265.5	2003-10-01
923	2003	Nov	148	2003-11-01
924	2003	Dec	189.5	2003-12-01
925	2002	Jan	263.5	2002-01-01
926	2002	Feb	85	2002-02-01
927	2002	Mar	343	2002-03-01
928	2002	Apr	426	2002-04-01
929	2002	May	535	2002-05-01
930	2002	Jun	118.5	2002-06-01
931	2002	Jul	143	2002-07-01
932	2002	Aug	137.5	2002-08-01
933	2002	Sep	141	2002-09-01
934	2002	Oct	178.5	2002-10-01
935	2002	Nov	218.5	2002-11-01
936	2002	Dec	244.5	2002-12-01
937	2001	Jan	429.5	2001-01-01
938	2001	Feb	56	2001-02-01
939	2001	Mar	183.5	2001-03-01
940	2001	Apr	379.2	2001-04-01
941	2001	May	332	2001-05-01
942	2001	Jun	395.3	2001-06-01
943	2001	Jul	311.5	2001-07-01
944	2001	Aug	154.5	2001-08-01
945	2001	Sep	250.5	2001-09-01
946	2001	Oct	320.5	2001-10-01
947	2001	Nov	157	2001-11-01
948	2001	Dec	85	2001-12-01
949	2000	Jan	51	2000-01-01
950	2000	Feb	52	2000-02-01
951	2000	Mar	200	2000-03-01
952	2000	Apr	156.5	2000-04-01
953	2000	May	213.5	2000-05-01
954	2000	Jun	203.5	2000-06-01
955	2000	Jul	250.5	2000-07-01
956	2000	Aug	270.5	2000-08-01
957	2000	Sep	189.5	2000-09-01
958	2000	Oct	177.5	2000-10-01
959	2000	Nov	168.5	2000-11-01
960	2000	Dec	246.3	2000-12-01
961	1999	Jan	219	1999-01-01
962	1999	Feb	21.5	1999-02-01
963	1999	Mar	478.2	1999-03-01
964	1999	Apr	397.6	1999-04-01
965	1999	May	394.2	1999-05-01
966	1999	Jun	124.5	1999-06-01
967	1999	Jul	115.5	1999-07-01
968	1999	Aug	226.5	1999-08-01
969	1999	Sep	308.5	1999-09-01
970	1999	Oct	242.3	1999-10-01
971	1999	Nov	208.6	1999-11-01
972	1999	Dec	131.1	1999-12-01
973	1998	Jan	193.9	1998-01-01
974	1998	Feb	223.5	1998-02-01
975	1998	Mar	138	1998-03-01
976	1998	Apr	459	1998-04-01
977	1998	May	394	1998-05-01
978	1998	Jun	215.6	1998-06-01
979	1998	Jul	112	1998-07-01
980	1998	Aug	121.6	1998-08-01
981	1998	Sep	186.9	1998-09-01
982	1998	Oct	246.3	1998-10-01
983	1998	Nov	188	1998-11-01
984	1998	Dec	41	1998-12-01
985	1997	Jan	170	1997-01-01
986	1997	Feb		1997-02-01
987	1997	Mar	121	1997-03-01
988	1997	Apr	434	1997-04-01
989	1997	May	156	1997-05-01
990	1997	Jun	121	1997-06-01
991	1997	Jul	231.1	1997-07-01
992	1997	Aug	182.9	1997-08-01
993	1997	Sep	12.9	1997-09-01
994	1997	Oct	339.7	1997-10-01
995	1997	Nov	387.5	1997-11-01
996	1997	Dec	357.7	1997-12-01
997	1996	Jan	153	1996-01-01
998	1996	Feb	336	1996-02-01
999	1996	Mar	363	1996-03-01
1000	1996	Apr	460	1996-04-01
1001	1996	May	502	1996-05-01
1002	1996	Jun	191.5	1996-06-01
1003	1996	Jul	244	1996-07-01
1004	1996	Aug	122	1996-08-01
1005	1996	Sep	451.5	1996-09-01
1006	1996	Oct	278.8	1996-10-01
1007	1996	Nov	222.5	1996-11-01
1008	1996	Dec	143	1996-12-01
1009	1995	Jan	55.5	1995-01-01
1010	1995	Feb	185.2	1995-02-01
1011	1995	Mar	280	1995-03-01
1012	1995	Apr	280.5	1995-04-01
1013	1995	May	364.4	1995-05-01
1014	1995	Jun	225.1	1995-06-01
1015	1995	Jul	209.7	1995-07-01
1016	1995	Aug	126.7	1995-08-01
1017	1995	Sep	215	1995-09-01
1018	1995	Oct	302	1995-10-01
1019	1995	Nov	285.6	1995-11-01
1020	1995	Dec	188	1995-12-01
1021	1994	Jan	25.7	1994-01-01
1022	1994	Feb	156	1994-02-01
1023	1994	Mar	224.9	1994-03-01
1024	1994	Apr	475.8	1994-04-01
1025	1994	May	409.5	1994-05-01
1026	1994	Jun	204	1994-06-01
1027	1994	Jul	229.3	1994-07-01
1028	1994	Aug	249.2	1994-08-01
1029	1994	Sep	250.4	1994-09-01
1030	1994	Oct	263.6	1994-10-01
1031	1994	Nov	376.8	1994-11-01
1032	1994	Dec	52.5	1994-12-01
1033	1993	Jan	263	1993-01-01
1034	1993	Feb	221.7	1993-02-01
1035	1993	Mar	33.7	1993-03-01
1036	1993	Apr	119.1	1993-04-01
1037	1993	May	336.9	1993-05-01
1038	1993	Jun	316.7	1993-06-01
1039	1993	Jul	72.4	1993-07-01
1040	1993	Aug	83.6	1993-08-01
1041	1993	Sep	57.1	1993-09-01
1042	1993	Oct	123.6	1993-10-01
1043	1993	Nov	76.2	1993-11-01
1044	1993	Dec	95.3	1993-12-01
