id	year	month	rainfall	date
163	2008	Jul	205.5	2008-07-01
164	2008	Aug	287	2008-08-01
165	2008	Sep	135	2008-09-01
166	2008	Oct	251	2008-10-01
167	2008	Nov	204	2008-11-01
168	2008	Dec	12	2008-12-01
169	2007	Jan	213	2007-01-01
170	2007	Feb	247.5	2007-02-01
171	2007	Mar	173	2007-03-01
172	2007	Apr	267.5	2007-04-01
173	2007	May	387.5	2007-05-01
174	2007	Jun	221	2007-06-01
175	2007	Jul	248	2007-07-01
176	2007	Aug	149.6	2007-08-01
177	2007	Sep	215	2007-09-01
178	2007	Oct	63.5	2007-10-01
179	2007	Nov	118.7	2007-11-01
180	2007	Dec	72	2007-12-01
181	2006	Jan	139	2006-01-01
182	2006	Feb	181	2006-02-01
183	2006	Mar	375	2006-03-01
184	2006	Apr	515.5	2006-04-01
185	2006	May	181.1	2006-05-01
186	2006	Jun	348.5	2006-06-01
187	2006	Jul	83	2006-07-01
188	2006	Aug	70.8	2006-08-01
189	2006	Sep	211.7	2006-09-01
190	2006	Oct	117	2006-10-01
191	2006	Nov	393	2006-11-01
192	2006	Dec	511.5	2006-12-01
193	2005	Jan	201	2005-01-01
194	2005	Feb	145.5	2005-02-01
195	2005	Mar	303	2005-03-01
196	2005	Apr	254.5	2005-04-01
197	2005	May	350.5	2005-05-01
198	2005	Jun	299	2005-06-01
199	2005	Jul	96.5	2005-07-01
200	2005	Aug	184	2005-08-01
201	2005	Sep	149.5	2005-09-01
202	2005	Oct	164	2005-10-01
203	2005	Nov	56	2005-11-01
204	2005	Dec	18	2005-12-01
205	2004	Jan	237.5	2004-01-01
206	2004	Feb	197	2004-02-01
207	2004	Mar	63.5	2004-03-01
208	2004	Apr	59.5	2004-04-01
209	2004	May	250	2004-05-01
210	2004	Jun	88.5	2004-06-01
211	2004	Jul	375.5	2004-07-01
212	2004	Aug	250	2004-08-01
213	2004	Sep	219.5	2004-09-01
214	2004	Oct	209	2004-10-01
215	2004	Nov	149.5	2004-11-01
216	2004	Dec	153	2004-12-01
217	2003	Jan	127.5	2003-01-01
218	2003	Feb	35	2003-02-01
219	2003	Mar	164.2	2003-03-01
220	2003	Apr	273.5	2003-04-01
221	2003	May	533	2003-05-01
222	2003	Jun	281.5	2003-06-01
223	2003	Jul	148	2003-07-01
224	2003	Aug	219	2003-08-01
225	2003	Sep	245	2003-09-01
226	2003	Oct	265.5	2003-10-01
227	2003	Nov	148	2003-11-01
228	2003	Dec	189.5	2003-12-01
229	2002	Jan	263.5	2002-01-01
230	2002	Feb	85	2002-02-01
231	2002	Mar	343	2002-03-01
232	2002	Apr	426	2002-04-01
233	2002	May	535	2002-05-01
234	2002	Jun	118.5	2002-06-01
235	2002	Jul	143	2002-07-01
236	2002	Aug	137.5	2002-08-01
237	2002	Sep	141	2002-09-01
238	2002	Oct	178.5	2002-10-01
239	2002	Nov	218.5	2002-11-01
240	2002	Dec	244.5	2002-12-01
241	2001	Jan	429.5	2001-01-01
242	2001	Feb	56	2001-02-01
243	2001	Mar	183.5	2001-03-01
244	2001	Apr	379.2	2001-04-01
245	2001	May	332	2001-05-01
246	2001	Jun	395.3	2001-06-01
247	2001	Jul	311.5	2001-07-01
248	2001	Aug	154.5	2001-08-01
249	2001	Sep	250.5	2001-09-01
250	2001	Oct	320.5	2001-10-01
251	2001	Nov	157	2001-11-01
