YEAR	STAT	MONTH	VALUE
2016	Minimum	DEC	9
2016	Maximum	JAN	28
2016	Maximum	FEB	29
2016	Maximum	MAR	31
2016	Maximum	APR	27
2016	Maximum	MAY	27
2016	Maximum	JUN	28
2016	Maximum	JUL	26
2016	Maximum	AUG	27
2016	Maximum	SEP	28
2016	Maximum	OCT	28
2016	Maximum	NOV	28
2016	Maximum	DEC	30
2016	Mean	JAN	20
2016	Mean	FEB	20
2016	Mean	MAR	21
2016	Mean	APR	19.5
2016	Mean	MAY	19.5
2016	Mean	JUN	19
2016	Mean	JUL	18
2016	Mean	AUG	18.5
2016	Mean	SEP	19
2016	Mean	OCT	19
2016	Mean	NOV	19
2016	Mean	DEC	19.5
2015	Minimum	JAN	9
2015	Minimum	FEB	10
2015	Minimum	MAR	10
2015	Minimum	APR	12
2015	Minimum	MAY	12
2015	Minimum	JUN	12
2015	Minimum	JUL	10
2015	Minimum	AUG	10
2015	Minimum	SEP	10
2015	Minimum	OCT	11
2015	Minimum	NOV	12
2015	Minimum	DEC	10
2015	Maximum	JAN	25
2015	Maximum	FEB	30
2015	Maximum	MAR	32
2015	Maximum	APR	27
2015	Maximum	MAY	28
2015	Maximum	JUN	28
2015	Maximum	JUL	29
2015	Maximum	AUG	29
2015	Maximum	SEP	29
2015	Maximum	OCT	29
2015	Maximum	NOV	27
2015	Maximum	DEC	28
2015	Mean	JAN	17
2015	Mean	FEB	20
2015	Mean	MAR	21
2015	Mean	APR	19.5
2015	Mean	MAY	20
2015	Mean	JUN	20
2015	Mean	JUL	19.5
2015	Mean	AUG	19.5
2015	Mean	SEP	19.5
2015	Mean	OCT	20
2015	Mean	NOV	19.5
2015	Mean	DEC	19
2014	Minimum	JAN	10
2014	Minimum	FEB	10
2014	Minimum	MAR	10
2014	Minimum	APR	10
2014	Minimum	MAY	11
2014	Minimum	JUN	12
2014	Minimum	JUL	11
2014	Minimum	AUG	9
2014	Minimum	SEP	10
2014	Minimum	OCT	11
2014	Minimum	NOV	10
2014	Minimum	DEC	9
2014	Maximum	JAN	28
2014	Maximum	FEB	24
2014	Maximum	MAR	28
2014	Maximum	APR	27
2014	Maximum	MAY	28
2014	Maximum	JUN	21
2014	Maximum	JUL	18
2014	Maximum	AUG	25
2014	Maximum	SEP	30
2014	Maximum	OCT	27
2014	Maximum	NOV	23
2014	Maximum	DEC	23
2014	Mean	JAN	19
2014	Mean	FEB	17
2014	Mean	MAR	19
2014	Mean	APR	18.5
2014	Mean	MAY	19.5
2014	Mean	JUN	16.5
2014	Mean	JUL	14.5
2014	Mean	AUG	17
2014	Mean	SEP	20
2014	Mean	OCT	19
2014	Mean	NOV	16.5
2014	Mean	DEC	16
2013	Minimum	JAN	11
2013	Minimum	FEB	10
2013	Minimum	MAR	10
2013	Minimum	APR	11
2013	Minimum	MAY	10
2013	Minimum	JUN	10
2013	Minimum	JUL	10
2013	Minimum	AUG	9
2013	Minimum	SEP	10
2013	Minimum	OCT	10
2013	Minimum	NOV	10
2013	Minimum	DEC	11
2013	Maximum	JAN	28
2013	Maximum	FEB	30
2013	Maximum	MAR	30
2013	Maximum	APR	28
2013	Maximum	MAY	28
2013	Maximum	JUN	28
2013	Maximum	JUL	28
2013	Maximum	AUG	27
2013	Maximum	SEP	29
2013	Maximum	OCT	28
2013	Maximum	NOV	27
2013	Maximum	DEC	21
2013	Mean	JAN	19.5
2013	Mean	FEB	20
2013	Mean	MAR	20
2013	Mean	APR	19.5
2013	Mean	MAY	19
2013	Mean	JUN	19
2013	Mean	JUL	19
2013	Mean	AUG	18
2013	Mean	SEP	19.5
2013	Mean	OCT	19
2013	Mean	NOV	18.5
2013	Mean	DEC	16
2012	Minimum	JAN	8
2012	Minimum	FEB	11
2012	Minimum	MAR	10.4
2012	Minimum	APR	NA
2012	Minimum	MAY	NA
2012	Minimum	JUN	10
2012	Minimum	JUL	12
2012	Minimum	AUG	11
2012	Minimum	SEP	10
2012	Minimum	OCT	10
2012	Minimum	NOV	11
2012	Minimum	DEC	12
2012	Maximum	JAN	25
2012	Maximum	FEB	27.6666666666667
2012	Maximum	MAR	26.6
2012	Maximum	APR	NA
2012	Maximum	MAY	NA
2012	Maximum	JUN	25
2012	Maximum	JUL	26
2012	Maximum	AUG	25
2012	Maximum	SEP	26
2012	Maximum	OCT	27
2012	Maximum	NOV	27
2012	Maximum	DEC	28
2012	Mean	JAN	16.5
2012	Mean	FEB	19.3333333333333
2012	Mean	MAR	18.5
2012	Mean	APR	NA
2012	Mean	MAY	NA
2012	Mean	JUN	17.5
2012	Mean	JUL	19
2012	Mean	AUG	18
2012	Mean	SEP	18
2012	Mean	OCT	18.5
2012	Mean	NOV	19
2012	Mean	DEC	20
