ID	Female_parent	Male_parent
000007	TL1	12/108
000029	TL1	12/108
000174	TL1	12/108
000176	TL1	12/108
000269	12/108	PC110
000292	MRTM1	TL1
000299	MRTM1	TL1
000307	TL1	12/108
000344	TL1	12/108
000388	MRTM1	TL1
000463	SFS150	EJULU
000540	MRTM1	TL1
000589	EJULU	PC110
000639	TL1	10/3
000641	TL1	10/3
000742	MRTM1	TL1
000788	SFS150	EJULU
000810	SFS150	EJULU
001028	MRTM1	TL1
001132	MRTM1	TL1
001154	MRTM1	TL1
001263	TL1	12/108
001335	12/108	PC110
001563	6/8	PC110
001650	SFS150	EJULU
001896	6/8	PC110
002047	SFS150	6/8
002347	TL1	10/3
0002403	SFS150	6/8
002453	SFS150	6/8
002473	SFS150	6/8
002591	SFS150	6/8
002782	SFS150	6/8
002790	SFS150	6/8
002886	MRTM1	TL1
002889	MRTM1	TL1
003163	TL1	12/108
0003180	SFS150	12/108
003437	SFS150	12/108
003448	SFS150	12/108
003522	SFS150	12/108
003547	12/108	SFS150
0003549	12/108	SFS150
003825	SFS150	10/3
003914	10/3	SFS150
003919	1602/7	MRTM1
003949	1602/7	MRTM1
003950	1602/7	MRTM1
003954	1602/7	MRTM1
004011	2607/7	MRTM1
004021	901/2	MRTM1
004022	901/2	MRTM1
004029	901/2	MRTM1
0004132	2607/7	MRTM1
004344	2607/7	MRTM1
004354	2607/7	MRTM1
004358	2607/7	MRTM1
004371	901/2	MRTM1
004397	1602/7	MRTM1
004442	901/2	MRTM1
0004519	510/17	MRTM1
004551	901/2	MRTM1
004567	901/2	MRTM1
004597	2607/7	6/8
0004658	1602/7	MRTM1
004683	1602/7	MRTM1
0004736	2607/7	6/8
004741	2607/7	6/8
004798	1602/7	MRTM1
004801	1602/7	MRTM1
004806	1602/7	MRTM1
004841	901/2	6/8
004904	901/2	6/8
004923	901/2	6/8
0005020	901/2	6/8
005032	901/2	6/8
005307	1602/7	6/8
0005356	901/2	6/8
0005433	1602/7	6/8
005492	MRTM1	16/163
005521	1602/7	6/8
0005560	MRTM1	16/163
005564	MRTM1	16/163
005617	MRTM1	16/163
0005627	MRTM1	16/163
005667	MRTM1	16/163
005690	MRTM1	16/163
005703	901/2	15/10
0005758	MRTM1	16/163
0005786	MRTM1	16/163
005818	901/2	15/10
005859	1602/7	15/10
005864	1602/7	15/10
005885	1602/7	15/10
0005906	MRTM1	16/163
005931	MRTM1	16/163
006035	1602/7	15/10
006046	901/2	15/10
0006071	510/2	15/10
006088	502/7	15/10
0006101	510/2	MRTM1
0006173	1602/7	15/10
006176	1602/7	15/10
006253	803/17	MRTM1
006261	803/17	MRTM1
0006271	803/17	MRTM1
006272	803/17	MRTM1
006277	803/17	MRTM1
0006294	208/17	MRTM1
006303	901/2	15/10
006311	901/2	15/10
006326	901/2	15/10
006379	1602/7	15/10
0006403	803/17	MRTM1
0006430	208/17	MRTM1
006582	1602/7	15/10
006663	803/17	MRTM1
006665	803/17	MRTM1
0006759	2607/7	15/10
0006780	502/7	MRTM1
0006783	510/2	MRTM1
0006806	510/2	MRTM1
0006840	901/2	TL1
006861	1602/7	TL1
006875	1602/7	TL1
0006886	1602/7	TL1
006889	1602/7	TL1
006891	1602/7	TL1
0006935	502/7	MRTM1
0006939	510/2	MRTM1
0006965	16/163	15/10
0007039	2607/7	15/10
007064	502/7	MRTM1
007156	1602/7	TL1
007160	1602/7	TL1
007162	1602/7	TL1
007189	1602/7	TL1
0007221	803/17	MRTM1
007238	803/17	MRTM1
007261	2607/7	15/10
007288	510/2	MRTM1
0007329	2607/7	15/10
0007352	1602/7	TL1
007375	1602/7	TL1
007387	1602/7	TL1
007477	901/2	BB35
0007543	2607/7	TL1
0007598	2607/7	TL1
007607	510/2	15/10
0007608	510/2	15/10
007706	1602/7	BB35
0007714	502/7	MRTM1
0007735	502/7	MRTM1
007829	1602/7	BB35
0007851	2607/7	TL1
007855	2607/7	TL1
007870	502/7	MRTM1
007901	1602/7	BB35
007902	1602/7	BB35
007935	2607/7	TL1
007963	1602/7	BB35
0008123	502/7	15/10
0008233	203/2	MRTM1
0008236	203/2	MRTM1
0008237	203/2	MRTM1
0008316	510/2	MRTM1
0008330	1704/17	MRTM1
0008331	1704/17	MRTM1
0008332	1704/17	MRTM1
0100170	803/17	864
0100173	803/17	864
0100178	803/17	864
0100193	502/7	PC110
0100204	502/7	PC110
0100214	502/7	PC110
0100227	502/7	PC110
0100257	803/17	PC110
0100264	502/7	PC110
0100279	502/7	PC110
0100295	502/7	864
0100330	803/17	PC110
0100457	502/7	PC110
0100462	502/7	PC110
0100469	502/7	PC110
0100493	803/17	PC110
0100541	502/7	864
0100568	502/7	864
0100570	502/7	864
0100592	502/7	PC110
0100629	803/17	PC110
0100633	803/17	PC110
0100698	803/17	PC110
0100709	803/17	PC110
0100784	1506/7	PC110
0100806	803/17	12/108
0100872	502/7	864
0100916	1506/7	12/108
0100939	1506/7	12/108
0100974	803/17	PC110
0101012	1506/7	PC110
0101031	1506/7	12/108
0101034	1506/7	12/108
0101039	1506/7	12/108
0101070	803/17	PC110
0101104	502/7	12/108
0101120	1506/7	PC110
0101133	1506/7	PC110
0101134	1506/7	PC110
0101160	803/17	12/108
0101182	803/17	12/108
0101187	803/17	12/108
0101240	1506/7	PC110
0101257	502/7	12/108
0101283	1506/7	12/108
0101285	1506/7	12/108
0101318	803/17	PC110
0101383	1506/7	PC110
0101386	1506/7	PC110
0101428	803/17	PC110
0101435	803/17	PC110
0101473	502/7	15/10
0101489	502/7	15/10
0101503	502/7	15/10
0101594	502/7	TL1
0101623	864	PC110
0101637	12/108	PC110
0101639	12/108	PC110
0101656	12/108	PC110
0101686	31/8	PC110
0101811	31/8	PC110
0101813	31/8	PC110
0101828	864	15/10
0101831	31/8	PC110
0101875	502/7	TL1
0101878	502/7	TL1
0101882	502/7	TL1
0101891	502/7	TL1
0101894	502/7	TL1
0101897	502/7	TL1
0101920	31/8	PC110
0101951	12/108	PC110
0101980	864	TL1
0102004	12/108	PC110
0102066	15/10	PC110
0102081	502/7	15/10
0102102	502/7	15/10
0102108	502/7	15/10
0102146	12/108	PC110
0102247	TL1	PC110
0102272	31/8	PC110
0102305	10/3	31/8
0102309	10/3	31/8
0102311	10/3	31/8
0102327	502/7	15/10
0102355	502/7	TL1
0102386	864	15/10
0102494	31/8	PC110
0102500	31/8	PC110
0102519	31/8	PC110
0102628	12/108	PC110
0102655	TL1	PC110
0102661	TL1	PC110
0102666	TL1	PC110
0102740	31/8	PC110
0102757	31/8	PC110
0102772	502/7	TL1
0102773	502/7	TL1
0102786	502/7	TL1
0102792	502/7	TL1
0102816	864	15/10
0102822	864	15/10
0102888	10/3	31/8
0102980	12/108	PC110
0103017	12/108	31/8
0103076	502/7	TL1
0103107	TL1	PC110
0103184	15/10	PC110
0103241	10/3	31/8
0103242	10/3	31/8
0103281	803/17	12/108
0103305	1506/7	12/108
0103310	1506/7	12/108
0103317	502/7	TL1
0103428	864	PC110
0103472	502/7	TL1
0103476	502/7	TL1
0103580	TL1	PC110
0103620	502/7	TL1
0103639	803/17	12/108
0103801	TL1	PC110
0103804	TL1	PC110
0103820	TL1	PC110
0103824	TL1	PC110
0103860	TL1	PC110
0103868	TL1	PC110
0103877	TL1	PC110
0103878	TL1	PC110
0103930	864	12/108
0103941	864	12/108
0103968	864	12/108
0103976	TL1	PC110
0103984	TL1	PC110
0103992	TL1	PC110
0103999	TL1	PC110
0104005	TL1	PC110
0104019	TL1	PC110
0104035	10/3	31/8
0104074	10/3	31/8
0104153	10/3	31/8
0104160	10/3	31/8
0104214	864	15/10
0104241	502/7	TL1
0104380	803/17	864
0104501	803/17	12/108
0104529	803/17	12/108
0104562	502/7	15/10
0104566	502/7	15/10
0104583	502/7	15/10
0104593	502/7	15/10
0104617	502/7	15/10
0104623	502/7	15/10
0104652	12/108	31/8
0104659	12/108	31/8
0104847	864	PC110
0104849	864	PC110
0104911	502/7	864
0104915	502/7	864
0104918	502/7	864
0104935	502/7	864
0104936	502/7	864
0104941	502/7	864
0104962	502/7	864
0104984	803/17	12/108
0104997	803/17	12/108
0104998	803/17	12/108
0105110	10/3	31/8
0105117	10/3	31/8
0105120	10/3	31/8
0105190	15/10	31/8
0105296	502/7	864
0105307	502/7	864
0105311	502/7	864
0105344	803/17	12/108
0105348	803/17	12/108
0105392	864	PC110
0105393	864	PC110
0105429	12/108	10/3
0105453	15/10	31/8
0105463	864	12/108
0105471	502/7	864
0105607	510/2	BB35
0105644	510/2	BB35
0105681	502/7	864
0105686	502/7	864
0105689	502/7	864
0105698	502/7	864
0105701	502/7	864
0105710	502/7	864
0105789	510/2	BB35
0105801	510/2	BB35
0105804	510/2	BB35
0105864	502/7	864
0105890	502/7	864
0105896	2607/7	BB7
0105898	2607/7	BB7
0105900	2607/7	BB7
0105909	2607/7	BB7
0105929	864	12/108
0105993	2607/7	BB35
0106023	803/17	864
0106046	502/7	31/8
0106085	502/7	31/8
0106092	502/7	31/8
0106109	510/2	BB35
0106134	510/2	BB35
0106142	510/2	BB35
0106146	510/2	BB35
0106172	864	12/108
0106191	864	12/108
0106212	864	12/108
0106213	864	12/108
0106227	864	12/108
0106397	864	15/10
0106427	2607/7	BB35
0106440	2607/7	BB35
0106453	502/7	10/3
0106525	12/108	31/8
0106530	12/108	31/8
0106531	12/108	31/8
0106587	2607/7	BB35
0106607	2607/7	BB35
0106654	510/2	BB7
0106692	510/2	BB35
0106706	502/7	31/8
0106738	502/7	31/8
0106751	803/17	10/3
0106803	2607/7	BB35
0106858	803/17	10/3
0106861	803/17	10/3
0106878	803/17	10/3
0106902	803/17	10/3
0106912	502/7	10/3
0106963	502/7	10/3
0106968	502/7	10/3
0106977	510/2	BB35
0106994	510/2	BB7
0106996	510/2	BB7
0106999	510/2	BB7
0107006	510/2	BB7
0107016	510/2	BB7
0107022	510/2	BB7
0107024	510/2	BB7
0107042	502/7	10/3
0107045	502/7	10/3
0107049	502/7	10/3
0107060	502/7	10/3
0107067	502/7	10/3
0107077	510/2	BB7
0107079	510/2	BB7
0107082	510/2	BB7
0107138	502/7	10/3
0107154	502/7	10/3
0107195	2607/7	BB35
0107244	502/7	12/108
0107262	502/7	12/108
0107303	510/2	BB35
0107373	803/17	10/3
0107393	502/7	10/3
0107406	502/7	10/3
0107429	502/7	10/3
0107434	1506/7	864
0107441	2607/7	BB35
0107490	510/2	BB35
0107510	803/17	15/10
0107518	803/17	15/10
0107556	502/7	15/10
0107557	502/7	15/10
0107601	2607/7	BB35
0107615	2607/7	BB35
0107619	2607/7	BB35
0107628	803/17	10/3
0107675	2607/7	BB7
0107688	2607/7	BB7
0107697	510/2	BB7
0107713	510/2	BB7
0107719	510/2	BB7
0107795	510/2	BB7
0107802	510/2	BB7
0107911	510/2	BB7
0108031	502/7	12/108
0108036	502/7	12/108
0108111	803/17	15/10
0108204	502/7	31/8
0108233	502/7	31/8
0108301	803/17	10/3
0108326	502/7	31/8
0108330	502/7	31/8
0108337	510/2	BB7
0108347	510/2	BB7
0108404	510/2	BB7
0108494	502/7	31/8
0108497	502/7	31/8
0108515	502/7	31/8
0108535	502/7	31/8
0108541	803/17	15/10
0108569	803/17	31/8
0108575	803/17	31/8
0108630	510/2	510/2
0108682	502/7	31/8
0108699	502/7	31/8
0108768	803/17	10/3
0108906	864	TL1
0109010	12/108	10/3
0109041	502/7	15/10
0109057	502/7	15/10
0109182	15/10	15/10
0109572	510/2	15/10
0109665	BB35	BB35
0109824	12/108	10/3
0109904	TL1	TL1
0109913	TL1	TL1
0109922	TL1	TL1
0109980	803/17	15/10
0109997	803/17	15/10
0110040	TL1	TL1
0110144	BB35	BB35
0110220	864	TL1
0110265	502/7	15/10
0110656	BB35	BB35
0110688	MRTM1	13/005
0110702	TL1	13/005
0110778	MRTM1	13/005
0110781	MRTM1	13/005
0110807	MRTM1	16/163
0110816	MRTM1	16/163
0110833	TL1	13/005
0110835	TL1	13/005
0110867	15/10	15/10
0110878	MRTM1	16/163
0110955	MRTM1	16/163
0110956	MRTM1	16/163
0111039	TL1	13/005
0111067	MRTM1	16/163
0111074	MRTM1	16/163
0111172	MRTM1	16/163
0111188	MRTM1	16/163
0111190	MRTM1	16/163
0111198	MRTM1	16/163
0111239	MRTM1	16/163
0111321	1506/7	TL1
0111344	864	TL1
0111354	12/108	31/8
0111395	864	TL1
0111405	864	TL1
0111446	864	TL1
0111542	864	TL1
0111556	864	TL1
0111603	864	TL1
0111605	864	TL1
0111611	864	TL1
0111617	1506/7	TL1
0111619	1506/7	TL1
0111621	1506/7	TL1
0111671	1506/7	TL1
0111683	803/17	15/10
0111731	12/108	10/3
0111794	2607/7	BB7
0111795	2607/7	BB7
0111851	2607/7	BB7
0111874	2607/7	BB7
0112003	2607/7	BB7
0112010	2607/7	BB7
0112011	2607/7	BB7
0112014	2607/7	BB7
0112019	2607/7	BB7
0112042	2607/7	BB7
0112048	2607/7	BB7
0112129	15/10	10/3
0112138	2607/7	BB7
0112188	2607/7	BB7
0112202	2607/7	BB7
0112399	502/7	12/108
0112453	502/7	12/108
0112581	510/2	15/10
