	ID	Female_parent	Male_parent
42497	9704184A	TL1	EJULU
42498	9704184B	TL1	EJULU
42499	9704184C	TL1	EJULU
42500	9704184D	TL1	EJULU
42501	9704184E	TL1	EJULU
42502	9704217A	4/1	303/999
42503	9704258A	6/8	TL1
42504	9704258C	6/8	TL1
42505	9704265A	6/8	TL1
42506	9704284A	6/8	TL1
42507	9704284B	6/8	TL1
42508	9704286A	6/8	TL1
42509	9704287A	6/8	TL1
42510	9704287B	6/8	TL1
42511	9704287C	6/8	TL1
42512	9704287E	6/8	TL1
42513	9704295C	6/8	TL1
42514	9704295D	6/8	TL1
42515	9704322A	TL1	6/8
42516	9704322B	TL1	6/8
42517	9704323A	TL1	6/8
42518	9704323B	TL1	6/8
42519	9704323D	TL1	6/8
42520	9704434A	6/8	MRTM1
42521	9704471A	TL1	6/8
42522	9704471B	TL1	6/8
42523	9704471C	TL1	6/8
42524	9704477A	TL1	6/8
42525	9704477B	TL1	6/8
42526	9704483A	TL1	6/8
42527	9704483B	TL1	6/8
42528	9704489A	TL1	6/8
42529	9704498A	TL1	6/8
42530	9704536A	864	EJULU
42531	9704604A	6/8	MRTM1
42532	9704642A	6/8	TL1
42533	9704724A	6/8	12/227
42534	9704724B	6/8	12/227
42535	9704724C	6/8	12/227
42536	9704739A	6/8	12/227
42537	9704739B	6/8	12/227
42538	9704841A	4/10	12/109
42539	9704841B	4/10	12/109
42540	9704842A	4/10	12/109
42541	9704842B	4/10	12/109
42542	9704853A	1/157	MRTM1
42543	9704893A	4/10	12/109
42544	9704900A	4/10	12/109
42545	9704984A	TL1	EJULU
42546	9704992A	TL1	EJULU
42547	9704996A	TL1	EJULU
42548	9704996B	TL1	EJULU
42549	9705006A	TL1	EJULU
42550	9705009A	TL1	EJULU
42551	9705009B	TL1	EJULU
42552	9705080A	4/10	12/109
42553	9705118A	TL1	EJULU
42554	9705127B	TL1	EJULU
42555	9705127C	TL1	EJULU
42556	9705127D	TL1	EJULU
42557	9705130A	TL1	EJULU
42558	9705130B	TL1	EJULU
42559	9705185A	6/8	864
42560	9705211B	4/10	12/109
42561	9705214A	4/10	12/109
42562	9705214B	4/10	12/109
42563	9705219A	4/10	12/109
42564	9705219B	4/10	12/109
42565	9705241B	4/10	12/109
42566	9705245A	6/8	864
42567	9705245B	6/8	864
42568	9705393A	TL1	EJULU
42569	9705406A	TL1	EJULU
42570	9705406B	TL1	EJULU
42571	9705406C	TL1	EJULU
42572	9705407A	TL1	EJULU
42573	9705407B	TL1	EJULU
42574	9705407C	TL1	EJULU
42575	9705407D	TL1	EJULU
42576	9705451A	4/1	303/999
42577	9705582A	1/157	MRTM1
42578	9705582B	1/157	MRTM1
42579	9705611A	TL1	EJULU
42580	9705616A	TL1	EJULU
42581	9705618A	TL1	EJULU
42582	9705618B	TL1	EJULU
42583	9705620A	TL1	EJULU
42584	9705620B	TL1	EJULU
42585	9705620C	TL1	EJULU
42586	9705621A	TL1	EJULU
42587	9705621B	TL1	EJULU
42588	9705621C	TL1	EJULU
42589	9705621D	TL1	EJULU
42590	9705623A	TL1	EJULU
42591	9705624A	TL1	EJULU
42592	9705624B	TL1	EJULU
42593	9705624C	TL1	EJULU
42594	9705628A	TL1	EJULU
42595	9705630A	TL1	EJULU
42596	9705633A	TL1	EJULU
42597	9705633B	TL1	EJULU
42598	9705634A	TL1	EJULU
42599	9705637A	TL1	EJULU
42600	9705638A	TL1	EJULU
42601	9705638B	TL1	EJULU
42602	9705638C	TL1	EJULU
42603	9705643A	TL1	EJULU
42604	9705643B	TL1	EJULU
42605	9705643C	TL1	EJULU
42606	9705643D	TL1	EJULU
42607	9705645A	TL1	EJULU
42608	9705645B	TL1	EJULU
42609	9705839A	4/10	12/109
42610	9705839B	4/10	12/109
42611	9705858A	TL1	EJULU
42612	9705858B	TL1	EJULU
